wnver::2.0
1740n 386614.353879380261 ROOT
2056n 9114.9402215109452
2342n 2
2452n 2
2560n 1.66666666666666667
2645n 54927.4159415783202
3009n 98609.5779042444483
3226n 98372.3993328158769
4358n 1
4483n 1
4609n 35.9285714285714286
4740n 1
4824n 198.25
5598n 88170.6427438982586
6026n 83975.8117193672341
12748n 6142.00122806115453
14510n 7314.73489729225023
16236n 216512.187153507634
17087n 5207.8015521651551
17572n 27353.6311194610343
18827n 3771.43065210932858
19244n 54501.0496412120198
20136n 329.794047619047619
20333n 36580.8058434286169 ROOT
20486n 153113.975095854986 ROOT
20729n 33047.1478000830735
21213n 628.213798701298702
21668n 2904.44424464424464
22625n 45267.3963833711305
23103n 5842.29287309786402
23548n 3280.82045454545454
23929n 30.125
24197n 1
24304n 7.25
24568n 21859.4941242580948 ROOT
25950n 25324.7645945304414 ROOT
26194n 65957.6885236551819 ROOT
26769n 49253.7646347976809 ROOT
27371n 20424.7535886331739 ROOT
27563n 28492.0814111121373
27929n 52030.4817130303358
28549n 45622.4283713792968
28764n 45566.3569428078683
29305n 68754.058183833725
29881n 8599.4871118823705 ROOT
30147n 31.5320512820512822
30242n 46.2333333333333333
30427n 1
30589n 5910.31894404614993
31097n 6
31291n 1
31461n 2
31742n 1
31905n 4936.51452061010884
32426n 3
32510n 1
32620n 45.8888888888888889
32816n 17084.4092968306204
33487n 1
33574n 70.4583333333333332
33885n 1
34175n 1
34333n 56.1408730158730159
34505n 1
34591n 16.6527777777777778
34839n 1.875
35034n 1
35210n 9
35372n 36.9880952380952381
35618n 1.5
35725n 1
35984n 33.4880952380952381
36142n 10.7380952380952381
36350n 31.1666666666666667
36630n 10.1568627450980392
36776n 1
36902n 4
37061n 1596.90067155067155
37473n 303.064285714285714
37703n 28.5714285714285714
37919n 433.533333333333333
38274n 1
38353n 274.334848484848485
38749n 138.083333333333333
39042n 229.864285714285714
39290n 307.658333333333333
39595n 17.8611111111111111
39813n 16.3333333333333333
40040n 1
40235n 1
40371n 744.697790118378354
40767n 40.0000000000000001
41028n 176.338095238095238
41298n 200.440656565656566
41454n 35.8727272727272727
41632n 267.460286935286935
42128n 2
42216n 46.0000000000000001
42466n 1
42660n 1
42855n 45.625
43051n 2
43161n 139.833333333333334
43335n 76.8333333333333333
43484n 162.091025641025641
43766n 1
43938n 47.8333333333333333
44113n 45.1166666666666667
44454n 1.66666666666666667
44639n 2.4
44745n 1
44898n 1.25
45018n 3
45146n 7.8
45304n 49.3205128205128206
45593n 1.25
45801n 2.75
45977n 40.153846153846154
46167n 10
46282n 32.153846153846154
46475n 2
46615n 3.16666666666666667
46802n 1
46987n 1
47142n 1.5
47236n 1
47414n 10.75
47580n 17.25
47871n 3
48100n 1
48177n 46.1666666666666667
48485n 1
48605n 1
48689n 4.83333333333333333
48886n 1.5
48992n 105.866666666666667
49341n 1
49496n 31.8333333333333333
49632n 5
49848n 1
50037n 1
50125n 6.83333333333333333
50443n 1
50603n 1
50742n 1
50879n 7
51103n 4
51343n 1
51480n 6.5
51704n 13.5
51954n 1
