wnver::2.0
1740n 953159 ROOT
2056n 35549
2342n 0
2452n 0
2560n 2
2645n 184592
3009n 189863
3226n 188850
4358n 0
4483n 0
4609n 759
4740n 0
4824n 254
5598n 181600
6026n 171595
12748n 10099
14510n 4893
16236n 588731
17087n 17880
17572n 53296
18827n 8501
19244n 183515
20136n 1249
20333n 146528 ROOT
20486n 403527 ROOT
20729n 131344
21213n 3451
21668n 11733
22625n 92501
23103n 14435
23548n 7257
23929n 222
24197n 0
24304n 17
24568n 69665 ROOT
25950n 63620 ROOT
26194n 184230 ROOT
26769n 109889 ROOT
27371n 20797 ROOT
27563n 100949
27929n 170269
28549n 143757
28764n 143578
29305n 123384
29881n 31268 ROOT
30147n 669
30242n 356
30427n 0
30589n 16039
31097n 1
31291n 22
31461n 2
31742n 0
31905n 12429
32426n 12
32510n 0
32620n 68
32816n 55987
33487n 0
33574n 1153
33885n 1
34175n 1
34333n 369
34505n 6
34591n 152
34839n 48
35034n 0
35210n 15
35372n 191
35618n 0
35725n 0
35984n 183
36142n 113
36350n 128
36630n 268
36776n 0
36902n 0
37061n 1099
37473n 1146
37703n 18
37919n 957
38274n 0
38353n 1175
38749n 175
39042n 504
39290n 2327
39595n 128
39813n 61
40040n 1
40235n 0
40371n 2905
40767n 14
41028n 239
41298n 426
41454n 59
41632n 883
42128n 1
42216n 153
42466n 0
42660n 0
42855n 227
43051n 1
43161n 399
43335n 259
43484n 787
43766n 10
43938n 175
44113n 223
44454n 1
44639n 5
44745n 1
44898n 0
45018n 13
45146n 33
45304n 276
45593n 3
45801n 4
45977n 200
46167n 2
46282n 201
46475n 0
46615n 15
46802n 0
46987n 0
47142n 1
47236n 0
47414n 27
47580n 34
47871n 0
48100n 2
48177n 265
48485n 0
48605n 0
48689n 16
48886n 3
48992n 99
49341n 1
49496n 41
49632n 8
49848n 0
50037n 0
50125n 14
50443n 0
50603n 0
50742n 0
50879n 1
51103n 10
51343n 0
51480n 0
51704n 16
51954n 0
52098n 1
52278n 13
52449n 16
52540n 0
52796n 0
53041n 0
53131n 5
53313n 8
53402n 0
53537n 424
53901n 242
54150n 26
54326n 203
54502n 3
54669n 11
54763n 64
54975n 1
55188n 4
55322n 0
55520n 0
55673n 1
55830n 0
55949n 30
56112n 0
56257n 235
56451n 4
56576n 26
56792n 193
56972n 0
57092n 12
57312n 0
57447n 1934
57655n 228
57951n 0
58200n 1
58293n 1626
58659n 34
58792n 0
58991n 3
59106n 260
59391n 121
59681n 0
59799n 11
59919n 7
60001n 0
60139n 163
60419n 68
60639n 0
60780n 2698
60961n 114
61200n 1891
61465n 17
61674n 0
61775n 161
61918n 2
62029n 292
62171n 165
62446n 16
62626n 17
62789n 11
63073n 0
63175n 17
63321n 5
63480n 0
63593n 0
63864n 0
64024n 0
64105n 0
64235n 0
64338n 0
64497n 0
64635n 0
64783n 15
64882n 0
65061n 19
65191n 0
65349n 718
65894n 0
66048n 0
66212n 78
66405n 109
66617n 48
66835n 1
66952n 10
67176n 2
67321n 5
67608n 0
67796n 9
67911n 24
68175n 0
68407n 11
